rank,primary_isbn13,rank_last_week,weeks_on_list,list_date,list_name,rank_change
6,9780307957658,5,106,2015-03-28,combined-print-and-e-book-nonfiction,1
7,9780062218360,0,9,2015-03-28,combined-print-and-e-book-nonfiction,7
8,9780802198754,0,1,2015-03-28,combined-print-and-e-book-nonfiction,8
9,9780805095159,7,25,2015-03-28,combined-print-and-e-book-nonfiction,2
10,9780984504176,3,3,2015-03-28,combined-print-and-e-book-nonfiction,7
11,9780802123411,8,4,2015-03-28,combined-print-and-e-book-nonfiction,3
12,9780805096682,11,27,2015-03-28,combined-print-and-e-book-nonfiction,1
13,9780062333933,0,1,2015-03-28,combined-print-and-e-book-nonfiction,13
14,9780062268341,10,22,2015-03-28,combined-print-and-e-book-nonfiction,4
15,9780062008565,0,1,2015-03-28,combined-print-and-e-book-nonfiction,15
16,9781455532704,0,0,2015-03-28,combined-print-and-e-book-nonfiction,16
17,9780805098549,0,0,2015-03-28,combined-print-and-e-book-nonfiction,17
18,9780698158450,0,0,2015-03-28,combined-print-and-e-book-nonfiction,18
19,9780399174063,0,0,2015-03-28,combined-print-and-e-book-nonfiction,19
20,9781476785073,0,0,2015-03-28,combined-print-and-e-book-nonfiction,20
1,9780307408860,2,4,2015-04-04,combined-print-and-e-book-nonfiction,-1
2,9780062376336,3,59,2015-04-04,combined-print-and-e-book-nonfiction,-1
3,9780143125471,4,46,2015-04-04,combined-print-and-e-book-nonfiction,-1
4,9780307957658,6,107,2015-04-04,combined-print-and-e-book-nonfiction,-2
5,9780679603757,5,199,2015-04-04,combined-print-and-e-book-nonfiction,0
6,9780805095159,9,26,2015-04-04,combined-print-and-e-book-nonfiction,-3
7,9780385347402,1,2,2015-04-04,combined-print-and-e-book-nonfiction,6
8,9780385350273,0,6,2015-04-04,combined-print-and-e-book-nonfiction,8
9,9780062218360,7,10,2015-04-04,combined-print-and-e-book-nonfiction,2
10,9780767917452,0,1,2015-04-04,combined-print-and-e-book-nonfiction,10
11,9780805096682,12,28,2015-04-04,combined-print-and-e-book-nonfiction,-1
12,9780698172524,0,1,2015-04-04,combined-print-and-e-book-nonfiction,12
13,9780802123411,11,5,2015-04-04,combined-print-and-e-book-nonfiction,2
14,9780062268341,14,23,2015-04-04,combined-print-and-e-book-nonfiction,0
15,9781439170915,0,3,2015-04-04,combined-print-and-e-book-nonfiction,15
16,9780062217226,0,0,2015-04-04,combined-print-and-e-book-nonfiction,16
17,9780805098556,0,0,2015-04-04,combined-print-and-e-book-nonfiction,17
18,9781250061133,0,0,2015-04-04,combined-print-and-e-book-nonfiction,18
19,9780393240184,0,0,2015-04-04,combined-print-and-e-book-nonfiction,19
20,9780393247688,0,0,2015-04-04,combined-print-and-e-book-nonfiction,20
1,9780062305213,0,1,2015-04-11,combined-print-and-e-book-nonfiction,1
2,9780307408860,1,5,2015-04-11,combined-print-and-e-book-nonfiction,1
3,9781627795074,0,1,2015-04-11,combined-print-and-e-book-nonfiction,3
4,9780143125471,3,47,2015-04-11,combined-print-and-e-book-nonfiction,1
5,9780062376336,2,60,2015-04-11,combined-print-and-e-book-nonfiction,3
6,9780307957658,4,108,2015-04-11,combined-print-and-e-book-nonfiction,2
7,9781476746104,0,1,2015-04-11,combined-print-and-e-book-nonfiction,7
8,9780062248497,0,4,2015-04-11,combined-print-and-e-book-nonfiction,8
9,9780679603757,5,200,2015-04-11,combined-print-and-e-book-nonfiction,4
10,9780805095159,6,27,2015-04-11,combined-print-and-e-book-nonfiction,4
11,9780316204378,0,30,2015-04-11,combined-print-and-e-book-nonfiction,11
12,9780307405722,0,2,2015-04-11,combined-print-and-e-book-nonfiction,12
13,9781476730752,0,1,2015-04-11,combined-print-and-e-book-nonfiction,13
14,9780393240184,0,1,2015-04-11,combined-print-and-e-book-nonfiction,14
15,9780553446678,0,1,2015-04-11,combined-print-and-e-book-nonfiction,15
16,9781501104831,0,0,2015-04-11,combined-print-and-e-book-nonfiction,16
17,9780385347402,0,0,2015-04-11,combined-print-and-e-book-nonfiction,17
18,9780062268341,0,0,2015-04-11,combined-print-and-e-book-nonfiction,18
19,9780698180741,0,0,2015-04-11,combined-print-and-e-book-nonfiction,19
20,9780802123411,0,0,2015-04-11,combined-print-and-e-book-nonfiction,20
1,9780812993257,0,1,2015-04-18,combined-print-and-e-book-nonfiction,1
2,9781627795074,3,2,2015-04-18,combined-print-and-e-book-nonfiction,-1
3,9780307408860,2,6,2015-04-18,combined-print-and-e-book-nonfiction,1
4,9780143125471,4,48,2015-04-18,combined-print-and-e-book-nonfiction,0
5,9780062305190,1,2,2015-04-18,combined-print-and-e-book-nonfiction,4
6,9781455504213,0,1,2015-04-18,combined-print-and-e-book-nonfiction,6
7,9780062376336,5,61,2015-04-18,combined-print-and-e-book-nonfiction,2
8,9780805095159,10,28,2015-04-18,combined-print-and-e-book-nonfiction,-2
9,9780812974492,9,201,2015-04-18,combined-print-and-e-book-nonfiction,0
10,9780307957658,6,109,2015-04-18,combined-print-and-e-book-nonfiction,4
11,9780316204378,11,31,2015-04-18,combined-print-and-e-book-nonfiction,0
12,9781476730752,13,2,2015-04-18,combined-print-and-e-book-nonfiction,-1
13,9780393240184,14,2,2015-04-18,combined-print-and-e-book-nonfiction,-1
14,9780062002761,0,1,2015-04-18,combined-print-and-e-book-nonfiction,14
15,9780684808277,7,2,2015-04-18,combined-print-and-e-book-nonfiction,8
16,9780802123411,0,0,2015-04-18,combined-print-and-e-book-nonfiction,16
17,9780316334310,0,0,2015-04-18,combined-print-and-e-book-nonfiction,17
18,9780061980565,0,0,2015-04-18,combined-print-and-e-book-nonfiction,18
19,9780062268341,0,0,2015-04-18,combined-print-and-e-book-nonfiction,19
20,9780307594969,0,0,2015-04-18,combined-print-and-e-book-nonfiction,20
1,9781455584901,0,1,2015-04-25,combined-print-and-e-book-nonfiction,1
2,9780812993257,1,2,2015-04-25,combined-print-and-e-book-nonfiction,1
